"DATE","TMAX","TMIN","Time"
20120510,305,168,2012-05-10
20120511,264,198,2012-05-11
20120512,235,150,2012-05-12
20120513,253,142,2012-05-13
20120514,259,113,2012-05-14
20120515,266,108,2012-05-15
20120516,272,155,2012-05-16
20120517,294,154,2012-05-17
20120518,315,152,2012-05-18
20120519,307,208,2012-05-19
20120520,287,191,2012-05-20
20120521,259,178,2012-05-21
20120522,281,200,2012-05-22
20120523,277,194,2012-05-23
20120524,286,181,2012-05-24
20120525,276,163,2012-05-25
20120526,332,139,2012-05-26
20120527,318,174,2012-05-27
20120528,334,184,2012-05-28
20120529,292,186,2012-05-29
20120530,278,150,2012-05-30
20120531,278,151,2012-05-31
20120601,232,161,2012-06-01
20120602,287,170,2012-06-02
20120603,251,190,2012-06-03
20120604,326,175,2012-06-04
20120605,337,200,2012-06-05
20120606,311,217,2012-06-06
20120607,316,213,2012-06-07
20120608,331,210,2012-06-08
20120609,333,189,2012-06-09
20120610,289,180,2012-06-10
20120611,324,165,2012-06-11
20120612,306,189,2012-06-12
20120613,271,191,2012-06-13
20120614,292,190,2012-06-14
20120615,298,175,2012-06-15
20120616,355,168,2012-06-16
20120617,380,211,2012-06-17
20120618,344,257,2012-06-18
20120619,300,211,2012-06-19
