STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100425,209, , ,s,9999,98, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100426,121, , ,s,9999,68, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100427,146, , ,s,9999,28, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100428,146, , ,s,9999,62, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100429,194, , ,s,9999,51, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100430,252, , ,s,9999,83, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100501,322, , ,s,9999,104, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100502,326, , ,s,9999,177, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100503,269, , ,s,9999,162, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100504,241, , ,s,9999,144, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100505,252, , ,s,9999,160, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100506,283, , ,s,9999,149, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100507,286, , ,s,9999,162, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100508,259, , ,s,9999,150, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100509,222, , ,s,9999,157, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100510,240, , ,s,9999,121, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100511,242, , ,s,9999,147, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100512,236, , ,s,9999,118, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100513,256, , ,s,9999,126, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100514,233, , ,s,9999,151, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100515,280, , ,s,9999,154, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100516,249, , ,s,9999,156, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100517,198, , ,s,9999,140, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100518,241, , ,s,9999,135, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100519,321, , ,s,9999,132, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100520,348, , ,s,9999,154, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100521,291, , ,s,9999,199, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100522,296, , ,s,9999,180, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100523,350, , ,s,9999,180, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100524,298, , ,s,9999,187, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100525,319, , ,s,9999,212, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100526,310, , ,s,9999,216, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100527,256, , ,s,9999,191, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100528,258, , ,s,9999,172, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100529,332, , ,s,9999,170, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100530,296, , ,s,9999,192, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100531,278, , ,s,9999,177, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100601,268, , ,s,9999,174, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100602,240, , ,s,9999,167, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100603,276, , ,s,9999,163, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100604,281, , ,s,9999,169, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100605,292, , ,s,9999,175, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100606,303, , ,s,9999,193, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100607,308, , ,s,9999,208, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100608,314, , ,s,9999,202, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100609,306, , ,s,9999,210, , ,s,9999
