"Year","Month","Day","pm2.5","Time"
2011,5,23,102.833333333333,2011-05-23
2011,5,24,70.25,2011-05-24
2011,5,25,61.7391304347826,2011-05-25
2011,5,26,105.7,2011-05-26
2011,5,27,111,2011-05-27
2011,5,28,141.083333333333,2011-05-28
2011,5,29,107.666666666667,2011-05-29
2011,5,30,54.25,2011-05-30
2011,5,31,12.4782608695652,2011-05-31
2011,6,1,17.9565217391304,2011-06-01
2011,6,2,79.4583333333333,2011-06-02
2011,6,3,29.4583333333333,2011-06-03
2011,6,4,39.9473684210526,2011-06-04
2011,6,5,86.7916666666667,2011-06-05
2011,6,6,99.4285714285714,2011-06-06
2011,6,7,136.25,2011-06-07
2011,6,8,26.625,2011-06-08
2011,6,9,132.208333333333,2011-06-09
2011,6,10,114.791666666667,2011-06-10
2011,6,11,64.2916666666667,2011-06-11
2011,6,12,23.3333333333333,2011-06-12
2011,6,13,90.125,2011-06-13
2011,6,14,150.541666666667,2011-06-14
2011,6,15,151.375,2011-06-15
2011,6,16,114.083333333333,2011-06-16
2011,6,17,102.041666666667,2011-06-17
2011,6,18,185.5,2011-06-18
2011,6,19,196.416666666667,2011-06-19
2011,6,20,179.166666666667,2011-06-20
2011,6,21,145,2011-06-21
2011,6,22,249.666666666667,2011-06-22
2011,6,23,135.791666666667,2011-06-23
2011,6,24,27.0416666666667,2011-06-24
2011,6,25,35.4166666666667,2011-06-25
2011,6,26,50.9166666666667,2011-06-26
2011,6,27,59.9583333333333,2011-06-27
2011,6,28,143,2011-06-28
2011,6,29,235.666666666667,2011-06-29
2011,6,30,142.291666666667,2011-06-30
2011,7,1,136.5,2011-07-01
2011,7,2,161.708333333333,2011-07-02
2011,7,3,105.083333333333,2011-07-03
2011,7,4,64.2916666666667,2011-07-04
2011,7,5,125.5,2011-07-05
2011,7,6,167.791666666667,2011-07-06
2011,7,7,26.9166666666667,2011-07-07
2011,7,8,23.0833333333333,2011-07-08
2011,7,9,23,2011-07-09
2011,7,10,87,2011-07-10
2011,7,11,191.791666666667,2011-07-11
2011,7,12,111.291666666667,2011-07-12
2011,7,13,93.7083333333333,2011-07-13
2011,7,14,103.166666666667,2011-07-14
2011,7,15,75.4166666666667,2011-07-15
2011,7,16,74.75,2011-07-16
2011,7,17,105,2011-07-17
2011,7,18,105.958333333333,2011-07-18
2011,7,19,97.8333333333333,2011-07-19
2011,7,20,44.375,2011-07-20
2011,7,21,90.1666666666667,2011-07-21
2011,7,22,174.708333333333,2011-07-22
2011,7,23,292.416666666667,2011-07-23
2011,7,24,226.75,2011-07-24
2011,7,25,51.6666666666667,2011-07-25
2011,7,26,47.9583333333333,2011-07-26
2011,7,27,67.4583333333333,2011-07-27
2011,7,28,210,2011-07-28
2011,7,29,130.625,2011-07-29
2011,7,30,41.7916666666667,2011-07-30
2011,7,31,64.05,2011-07-31
2011,8,3,62.9230769230769,2011-08-03
2011,8,4,105.826086956522,2011-08-04
2011,8,5,150.333333333333,2011-08-05
2011,8,6,108.5,2011-08-06
2011,8,8,100.5,2011-08-08
2011,8,9,173.909090909091,2011-08-09
2011,8,10,64,2011-08-10
2011,8,11,101.272727272727,2011-08-11
2011,8,12,133.333333333333,2011-08-12
2011,8,13,121.125,2011-08-13
2011,8,14,105.875,2011-08-14
2011,8,15,112.625,2011-08-15
2011,8,16,16.875,2011-08-16
2011,8,17,50,2011-08-17
2011,8,18,21.4583333333333,2011-08-18
2011,8,19,59.125,2011-08-19
2011,8,20,77.4583333333333,2011-08-20
2011,8,21,85.9090909090909,2011-08-21
2011,8,22,106.727272727273,2011-08-22
2011,8,23,92,2011-08-23
2011,8,24,104.8,2011-08-24
2011,8,25,100.708333333333,2011-08-25
2011,8,26,90.875,2011-08-26
2011,8,27,88.4583333333333,2011-08-27
2011,8,28,85.7083333333333,2011-08-28
2011,8,29,127.260869565217,2011-08-29
2011,8,30,164.541666666667,2011-08-30
2011,8,31,238.791666666667,2011-08-31
2011,9,1,28.875,2011-09-01
2011,9,2,55.5416666666667,2011-09-02
2011,9,3,89.625,2011-09-03
2011,9,4,87.4583333333333,2011-09-04
2011,9,5,89.375,2011-09-05
2011,9,6,118.333333333333,2011-09-06
2011,9,7,158.416666666667,2011-09-07
2011,9,8,36.6666666666667,2011-09-08
2011,9,9,21.5,2011-09-09
2011,9,10,21.0833333333333,2011-09-10
2011,9,11,44.8333333333333,2011-09-11
2011,9,12,122.25,2011-09-12
2011,9,13,121.458333333333,2011-09-13
2011,9,14,158.5,2011-09-14
2011,9,15,149.166666666667,2011-09-15
2011,9,16,22.7083333333333,2011-09-16
2011,9,17,18.9166666666667,2011-09-17
2011,9,18,21.4583333333333,2011-09-18
2011,9,19,29.375,2011-09-19
2011,9,20,36.7083333333333,2011-09-20
2011,9,21,40.9583333333333,2011-09-21
2011,9,22,53.1666666666667,2011-09-22
2011,9,23,119.041666666667,2011-09-23
2011,9,24,146.416666666667,2011-09-24
2011,9,25,265.25,2011-09-25
2011,9,26,211.478260869565,2011-09-26
2011,9,27,217.291666666667,2011-09-27
2011,9,28,295.875,2011-09-28
2011,9,29,45.4166666666667,2011-09-29
2011,9,30,26.7916666666667,2011-09-30
2011,10,1,39.7083333333333,2011-10-01
2011,10,2,25.5,2011-10-02
2011,10,3,37.5833333333333,2011-10-03
2011,10,7,148.222222222222,2011-10-07
2011,10,8,197.291666666667,2011-10-08
2011,10,9,356.625,2011-10-09
2011,10,10,70.125,2011-10-10
2011,10,11,118.458333333333,2011-10-11
2011,10,12,229.652173913043,2011-10-12
2011,10,13,91.625,2011-10-13
2011,10,14,12.625,2011-10-14
2011,10,15,14.625,2011-10-15
2011,10,16,16.2083333333333,2011-10-16
2011,10,17,32.875,2011-10-17
2011,10,18,93.5,2011-10-18
2011,10,19,177.541666666667,2011-10-19
2011,10,20,287.958333333333,2011-10-20
2011,10,21,253.333333333333,2011-10-21
2011,10,22,318.875,2011-10-22
2011,10,23,174.416666666667,2011-10-23
2011,10,24,16.9565217391304,2011-10-24
2011,10,25,30.0588235294118,2011-10-25
2011,10,26,122.8125,2011-10-26
2011,10,27,205.583333333333,2011-10-27
2011,10,28,177.458333333333,2011-10-28
2011,10,29,232,2011-10-29
2011,10,30,281.916666666667,2011-10-30
2011,10,31,246.625,2011-10-31
2011,11,1,196.045454545455,2011-11-01
2011,11,2,40.9166666666667,2011-11-02
2011,11,3,70.2916666666667,2011-11-03
2011,11,4,96.5833333333333,2011-11-04
2011,11,5,31.8333333333333,2011-11-05
2011,11,6,66.25,2011-11-06
2011,11,7,58.125,2011-11-07
2011,11,8,52.7916666666667,2011-11-08
2011,11,9,38,2011-11-09
2011,11,10,68.0416666666667,2011-11-10
2011,11,11,155.958333333333,2011-11-11
2011,11,12,46.6666666666667,2011-11-12
2011,11,13,29.7916666666667,2011-11-13
2011,11,14,152.25,2011-11-14
2011,11,15,203.75,2011-11-15
2011,11,16,218.181818181818,2011-11-16
2011,11,17,121.791666666667,2011-11-17
2011,11,18,84.125,2011-11-18
2011,11,19,20.125,2011-11-19
2011,11,20,62.125,2011-11-20
2011,11,21,144,2011-11-21
2011,11,22,151.625,2011-11-22
2011,11,23,23,2011-11-23
2011,11,24,186.625,2011-11-24
2011,11,25,214.666666666667,2011-11-25
2011,11,26,246.791666666667,2011-11-26
2011,11,27,227.125,2011-11-27
2011,11,28,125.208333333333,2011-11-28
2011,11,29,67.25,2011-11-29
2011,11,30,98.9565217391304,2011-11-30
2011,12,1,162.958333333333,2011-12-01
2011,12,2,330.208333333333,2011-12-02
2011,12,3,113.833333333333,2011-12-03
